a_hood,b_hood,a_scale,b_scale
Aalsmeerwegbuurt Oost,Schinkelbuurt Noord,2,2
Aalsmeerwegbuurt Oost,Legmeerpleinbuurt,2,2
Aalsmeerwegbuurt Oost,Aalsmeerwegbuurt West,2,2
Aalsmeerwegbuurt West,Legmeerpleinbuurt,2,2
Aalsmeerwegbuurt West,Aalsmeerwegbuurt Oost,2,2
Afrikahaven,De Heining,1,1
Afrikahaven,Amerikahaven,1,1
Alfa-driehoek,Vervoerscentrum,1,1
Alfa-driehoek,Teleport,1,1
Alfa-driehoek,Sloterdijk II,1,1
Alfa-driehoek,Sloterdijk I,1,1
Alfa-driehoek,Overbraker Binnenpolder,1,1
Alfa-driehoek,Coenhaven/Mercuriushaven,1,1
AMC,Reigersbos Zuid,1,1
AMC,Reigersbos Noord,1,1
AMC,Reigersbos Midden,1,1
AMC,Holendrecht West,1,1
AMC,Hoge Dijk,1,1
AMC,Amstel III deel C/D Zuid,1,1
AMC,Amstel III deel A/B Zuid,1,1
Amerikahaven,Westhaven Noord,1,1
Amerikahaven,Sloterdijk III West,1,1
Amerikahaven,De Heining,1,1
Amerikahaven,Afrikahaven,1,1
Amstelglorie,Zorgvlied,1,1
Amstelglorie,Rijnbuurt Midden,1,1
Amstelglorie,Overamstel,1,1
Amstelglorie,Amstel I Zuid,1,1
Amstel III deel A/B Noord,Hoptille,1,1
Amstel III deel A/B Noord,Hoofdcentrum Zuidoost,1,1
Amstel III deel A/B Noord,Holendrecht West,1,1
Amstel III deel A/B Noord,Hakfort/Huigenbos,1,1
Amstel III deel A/B Noord,Amsterdamse Poort,1,1
Amstel III deel A/B Noord,Amstel III deel C/D Zuid,1,1
Amstel III deel A/B Noord,Amstel III deel C/D Noord,1,1
Amstel III deel A/B Noord,Amstel III deel A/B Zuid,1,1
Amstel III deel A/B Zuid,Reigersbos Noord,1,1
Amstel III deel A/B Zuid,Holendrecht West,1,1
Amstel III deel A/B Zuid,Hakfort/Huigenbos,1,1
Amstel III deel A/B Zuid,Amstel III deel C/D Zuid,1,1
Amstel III deel A/B Zuid,Amstel III deel C/D Noord,1,1
Amstel III deel A/B Zuid,Amstel III deel A/B Noord,1,1
Amstel III deel A/B Zuid,AMC,1,1
Amstel III deel C/D Noord,Hoofdcentrum Zuidoost,1,1
Amstel III deel C/D Noord,Amstel III deel C/D Zuid,1,1
Amstel III deel C/D Noord,Amstel III deel A/B Zuid,1,1
Amstel III deel C/D Noord,Amstel III deel A/B Noord,1,1
Amstel III deel C/D Zuid,Hoge Dijk,1,1
Amstel III deel C/D Zuid,Amstel III deel C/D Noord,1,1
Amstel III deel C/D Zuid,Amstel III deel A/B Zuid,1,1
Amstel III deel C/D Zuid,Amstel III deel A/B Noord,1,1
Amstel III deel C/D Zuid,AMC,1,1
Amstel I Noord,Rijnbuurt Oost,2,2
Amstel I Zuid,Weespertrekvaart,1,1
Amstel I Zuid,Amstelglorie,1,1
Amstelpark,Zorgvlied,1,1
Amstelpark,Vivaldi,1,1
Amstelpark,Veluwebuurt,1,1
Amstelpark,RAI,1,1
Amstelpark,Overamstel,1,1
Amstelpark,De Klenckebuurt,1,1
Amstelpark,Buitenveldert Zuidoost,1,1
Amstelpark,Buitenveldert Oost Midden,1,1
Amstelveldbuurt,Weteringbuurt,1,1
Amstelveldbuurt,Weesperbuurt,1,1
Amstelveldbuurt,Van Loonbuurt,1,1
Amstelveldbuurt,Utrechtsebuurt Zuid,1,1
Amstelveldbuurt,Rembrandtpleinbuurt,1,1
Amsterdamse Bos,Zuiderhof,1,1
Amsterdamse Bos,Riekerhaven,1,1
Amsterdamse Bos,Nieuwe Meer,1,1
Amsterdamse Bos,Buitenveldert Zuidwest,1,1
Amsterdamse Bos,Buitenveldert West Midden,1,1
Amsterdamse Bos,Bedrijventerrein Schinkel,1,1
Amsterdamse Poort,Vogeltjeswei,1,1
Amsterdamse Poort,Venserpolder West,1,1
Amsterdamse Poort,Rechte H-buurt,1,1
Amsterdamse Poort,Hoptille,1,1
Amsterdamse Poort,Hoofdcentrum Zuidoost,1,1
Amsterdamse Poort,F-buurt,1,1
Amsterdamse Poort,D-buurt,1,1
Amsterdamse Poort,Bijlmerpark West,1,1
Amsterdamse Poort,Amstel III deel A/B Noord,1,1
Andreasterrein,Westlandgrachtbuurt,1,1
Andreasterrein,Rembrandtpark Zuid,1,1
Andreasterrein,Koningin Wilhelminaplein,1,1
Andreasterrein,Delflandpleinbuurt Oost,1,1
Architectenbuurt,Borneo,1,1
Architectenbuurt,Bedrijvengebied Zeeburgerkade,1,1
Architectenbuurt,Bedrijvengebied Veelaan,1,1
Architectenbuurt,Bedrijvengebied Cruquiusweg,1,1
Balboaplein e.o.,Van Brakelkwartier,2,2
Balboaplein e.o.,Pieter van der Doesbuurt,2,2
Balboaplein e.o.,Orteliusbuurt Zuid,2,2
Balboaplein e.o.,Orteliusbuurt Noord,2,2
Balboaplein e.o.,Orteliusbuurt Midden,2,2
Balboaplein e.o.,Jan Maijenbuurt,2,2
Balboaplein e.o.,Columbusplein e.o.,2,2
Banne Noordoost,Jeugdland,1,1
Banne Noordoost,Buikslotermeer Noord,1,1
Banne Noordoost,Banne Zuidoost,1,1
Banne Noordoost,Banne Noordwest,1,1
Banne Noordwest,Kadoelen,1,1
Banne Noordwest,Banne Zuidwest,1,1
Banne Noordwest,Banne Zuidoost,1,1
Banne Noordwest,Banne Noordoost,1,1
Banne Zuidoost,Jeugdland,1,1
Banne Zuidoost,Buiksloterbreek,1,1
Banne Zuidoost,Banne Zuidwest,1,1
Banne Zuidoost,Banne Noordwest,1,1
Banne Zuidoost,Banne Noordoost,1,1
Banne Zuidwest,Kadoelen,1,1
Banne Zuidwest,De Bongerd,1,1
Banne Zuidwest,Buiksloterbreek,1,1
Banne Zuidwest,Banne Zuidoost,1,1
Banne Zuidwest,Banne Noordwest,1,1
Banpleinbuurt,Valeriusbuurt Oost,1,1
Banpleinbuurt,Cornelis Schuytbuurt,1,1
Beatrixpark,Zuidas Noord,1,1
Beatrixpark,RAI,1,1
Bedrijvencentrum Osdorp,Osdorper Bovenpolder,1,1
Bedrijvencentrum Osdorp,De Punt,1,1
Bedrijvencentrum Westerkwartier,Sloterdijk,1,1
Bedrijvencentrum Westerkwartier,Markthallen,1,1
Bedrijvencentrum Westerkwartier,Bedrijventerrein Landlust,1,1
Bedrijvengebied Cruquiusweg,Zeeburgereiland Zuidwest,1,1
Bedrijvengebied Cruquiusweg,Zeeburgereiland Noordwest,1,1
Bedrijvengebied Cruquiusweg,Sporenburg,1,1
Bedrijvengebied Cruquiusweg,Borneo,1,1
Bedrijvengebied Cruquiusweg,Bedrijvengebied Zeeburgerkade,1,1
Bedrijvengebied Cruquiusweg,Architectenbuurt,1,1
Bedrijvengebied Veelaan,Bedrijvengebied Zeeburgerkade,1,1
Bedrijvengebied Veelaan,Architectenbuurt,1,1
Bedrijvengebied Zeeburgerkade,Noordwestkwadrant Indische buurt Noord,1,1
Bedrijvengebied Zeeburgerkade,Het Funen,1,1
Bedrijvengebied Zeeburgerkade,Bedrijvengebied Veelaan,1,1
Bedrijvengebied Zeeburgerkade,Bedrijvengebied Cruquiusweg,1,1
Bedrijvengebied Zeeburgerkade,Architectenbuurt,1,1
Bedrijventerrein Landlust,Sloterdijk,1,1
Bedrijventerrein Landlust,Markthallen,1,1
Bedrijventerrein Landlust,Bedrijvencentrum Westerkwartier,1,1
Bedrijventerrein Nieuwendammerdijk,Schellingwoude West,1,1
Bedrijventerrein Nieuwendammerdijk,Schellingwoude Oost,1,1
Bedrijventerrein Nieuwendammerdijk,KNSM-eiland,1,1
Bedrijventerrein Schinkel,Schinkelbuurt Zuid,1,1
